id,book,round,status,category,title,description,source_file,source_paragraph,source_path,keywords,proofread_from
LAT040-001,李敖语录,校对轮,已校对,人格,自炼成钢,在我成长的过程中，我曾花了许多气力来把自己锻炼成钢铁。锻炼的方法，不论是东海圣人的，还是西海圣人的，我都一网兜收，从摸索和试验中，求得安身立命。我这种自我炼钢，是很用心的，我今天能有一些个性、一些独来独往的气魄、一些“虽千万人，吾往矣”的决绝，追溯起来，都跟我早年的刻苦自励有深切关系。（《大学札记前记》1982年）,004.自我炼钢.txt,4,《大李敖全集6.0》分章节/005.诗集语录类/004.李敖语录/004.自我炼钢.txt,"自我,钢铁,磨练",LAT040-003
LAT040-002,李敖语录,校对轮,已校对,人格,担当风险,独坐图书馆中，身着大衣，静望窗外，自觉颇有些担当的进境，担当的表现是深沉、冷静、沉着、持重、和气、淡漠，忍耐得住，不浮动张皇。（《大学札记》1957年2月11日）,004.自我炼钢.txt,6,《大李敖全集6.0》分章节/005.诗集语录类/004.李敖语录/004.自我炼钢.txt,"担当,骂名,人格",LAT040-004
LAT040-003,李敖语录,校对轮,已校对,人格,英雄意志,钱思亮说：“胡博士虽然一身有好几种病，但是毕竟是一个意志非常坚强的人，他之能够吃苦耐劳，向为朋友们所最钦佩。”但是胡适的意志是长者化了的，未免缺乏英雄之气，如今我所要求自己的是一种有“英雄之气的意志”。（《大学札记》1957年5月18日）,004.自我炼钢.txt,11,《大李敖全集6.0》分章节/005.诗集语录类/004.李敖语录/004.自我炼钢.txt,"英雄,意志,人格",LAT040-006
LAT040-004,李敖语录,校对轮,已校对,方法,沉默力量,“默然不语”是一种最伟大的作风，何况事实上的是非恩怨又是一本搞不清的烂帐！泰戈尔说：“如果不等着说完全的真理，那么要说话是很容易的。”在一种公允的总结永不会产生的情况下，我的确是不该再说什么的。（《大学札记》1957年5月18日）,004.自我炼钢.txt,16,《大李敖全集6.0》分章节/005.诗集语录类/004.李敖语录/004.自我炼钢.txt,"沉默,判断,方法",LAT040-007
LAT040-005,李敖语录,校对轮,已校对,人格,道德勇气,我正展开一个律己极严的严肃生活，“放弃故我，重修学立身。”在各方面我都严格的要求我自己，非逼迫我“止于至善”不罢休，照我最近的突飞猛进看来，“止于至善”对于我似乎已不是难事，因为“道德的勇气”（moral courage）已在极短的时间内占据了我的心。“Arise；for this matter belongeth unto thre；we also will be with thee：be of good courage，and do it.”－Ezra 10:4（起来！这是你自己应该办的事，我们也赞助你，鼓起勇气去干！）这是道德的勇气的最好颂词了。（《大学札记》1957年5月19日）,004.自我炼钢.txt,24,《大李敖全集6.0》分章节/005.诗集语录类/004.李敖语录/004.自我炼钢.txt,"勇气,道德,人格",LAT040-011
LAT040-006,李敖语录,校对轮,已校对,人格,伟大标准,今天想到的最具体的一个念头是，我要做一个伟大的人，有一种伟大的自处生活和一种伟大的对人态度，我要使人以我而骄傲，不使人以我而羞耻，我在别人的心目里要成为一个永不能忘的有光彩的人。我曾写“成第一等人做法”的理论道：“世俗的态度固然格卑而不必说，一般有着真情的男孩子的态度也是不足法的，因为他们的做法总不成为第一等人的标准，所以他们做出来的总不能可记可歌，使人感动。（《大学札记》1957年5月27日）,004.自我炼钢.txt,28,《大李敖全集6.0》分章节/005.诗集语录类/004.李敖语录/004.自我炼钢.txt,"伟大,标准,人格",LAT040-012
LAT040-007,李敖语录,校对轮,已校对,人格,反对懒惰,我发现我若用苏格拉底的标准来衡量自己，我也和这些男人们无异——也是一个五十步笑百步的懒蛋。苏格拉底的标准是：“不单只是不做事的人，还有那些原可做得更好的人，也算是懒惰的。”直到今天午后，我才真正的发现自己的确是一个懒惰习惯甚深的人！追想起来，我这十五年的读书生活，即使有许多地方我还是比别人高明，可是我还是非常不满意的，因为我“原可做得更好”。詹姆斯说：“若拿我们应当成就的标准，我们只是半醒着，我们只用了我们自己身体和智力的富源的一小部分。广泛的说，人们现在的生活距他们的限度尚远，我们具有许多力量平常不会利用。”沃尔特·司各特说：“工作过度并没有像一般人所猜想的那样危险或是那样普遍。有许多人把工作过度和实在工作过少而着急过多混为一样东西了。一天做事很有成就是觉得很安适的，而一天做事无所成就反而觉得是很吃力的。一个人对于工作极有兴趣，觉得胜过工作的困难是一种快乐，比那些以为工作是一种重担的人，并不觉得疲倦些。”所以懒惰不是一种清福，而是一种不安和不幸（对内心说来是不安，对事业说来是不幸），内心的快乐与事业的成功都不是懒惰所能造成的，吕坤说：“体懈、神昏、志消、气沮，天下事不是这般人干的。”好逸恶劳，怕吃苦，贪容易，都不是成大事者的气象。（《大学札记》1957年6月1日）,004.自我炼钢.txt,32,《大李敖全集6.0》分章节/005.诗集语录类/004.李敖语录/004.自我炼钢.txt,"懒惰,工作,人格",LAT040-014
LAT040-008,李敖语录,校对轮,已校对,人格,是非挂帅,我从少年开始，便有狂狷的性格，（《论语》定义：“狂者进取，狷者有所不为也。”）年纪愈大，自立自恃的本钱愈足，这种性格就愈快行己意。现在年华老去，更觉得贯彻这种性格的重要，以求一生中最后完成自我。——一般情形是愈老愈泄气，我则恰恰相反，愈老中气愈足、愈老愈“进取”、愈老愈“有所不为也”。所以，相对的，我在世俗眼中，就愈老愈别扭。,005.立言家的真面目.txt,6,《大李敖全集6.0》分章节/005.诗集语录类/004.李敖语录/005.立言家的真面目.txt,"是非,狂狷,人格",LAT040-016
LAT040-009,李敖语录,校对轮,已校对,人格,痛恨乡愿,我的消极是：自己不做乡愿，中国少一乡愿；我的“积极”是：打倒几个“伪君子”，宣布几个“伪君子”是乡愿。如此而已。我深信的人生哲学很简单：能少做一分懦夫，就多充一分勇士；能表白一下真我，就少戴一次假面；如果与覆巢同下，希望自己不是一个太狼狈的“坏蛋”；如果置身釜底，希望自己不做俎肉，而是一条活生生的游魂！（《十三年和十三月》）,005.立言家的真面目.txt,10,《大李敖全集6.0》分章节/005.诗集语录类/004.李敖语录/005.立言家的真面目.txt,"乡愿,真我,人格",LAT040-017
LAT040-010,李敖语录,校对轮,已校对,方法,珍惜光阴,我慢慢感到：“息交绝游”式的生活，该是我中年以后最该过的生活，这种生活劲气内敛、时间集中，可以大量工作，工作成绩才是检验人生的唯一标准。胡适先生为人一团和气，会交朋友，但他的工作成绩，显然因此受到严重的妨碍。我回忆在南港客厅见他，觉得他的生命，简直在被每一个仰慕他的人分割以去，活像《老人与海》中的那条被吃光的大鱼。我常常想，这样子的人生，也许很快活、很有人情味，可是，对第一流的人说来，就未免太浪费了。第一流的人不该花这么多的时间去做人际关系，第一流的人应该珍惜光阴、去做大事。,005.立言家的真面目.txt,12,《大李敖全集6.0》分章节/005.诗集语录类/004.李敖语录/005.立言家的真面目.txt,"光阴,工作,方法",LAT040-018
LAT040-011,李敖语录,校对轮,已校对,人格,战斗隐居,我在性格上的喜欢宁静致远、喜欢孤独。我年纪愈大，对俗务与俗情，愈来愈感到烦人。更严重的，是我来日无多，一心想把自己的生命支付在最该我做的事情上。俗务与俗情使我在心烦以外，且有得不偿失之感，因此我决定除非书面交往，别的都息交绝游了。（《我为什么“战斗性隐居”？》）,005.立言家的真面目.txt,22,《大李敖全集6.0》分章节/005.诗集语录类/004.李敖语录/005.立言家的真面目.txt,"隐居,战斗,人格",LAT040-019
LAT040-012,李敖语录,校对轮,已校对,人格,公开大义,我曾经想，为什么我常常笑语伤人？后来我想通了，原来我救世心切，但以愤世、玩世为“小李飞刀”，以致刀刀见血，使人吃不消。不过我很够朋友，朋友只要在大义上不出错，我一定维护。我的“缺点”是常常公开与朋友争大义，原因无他，既为大义，就不是见不了人的，为什么不公而开之呢？为了使朋友在大义轨道上滑进，我有时会吆喝一声，小割一下，然后用BAND - AID（plastic strips）贴起，以防发炎或失血，可见朋友是不必紧张的。（《给谢长廷的一封信》）,005.立言家的真面目.txt,35,《大李敖全集6.0》分章节/005.诗集语录类/004.李敖语录/005.立言家的真面目.txt,"大义,朋友,人格",LAT040-022
LAT040-013,李敖语录,校对轮,已校对,人格,选择一种人,我有时候想，人间虽众生百相，但你只能做一种人——你只能选择做一种人，同时你还得拒绝不做其他种的人，尽管其中还不乏有趣的、吸引人的成分。你不能做神父又做棺材店的老板、不能做女权运动者又做讨小老婆的、不能做天使又做牛头马面、不能做斯多噶（stoic）的信徒又做财神。你所面对的两个方面，一面是选择做什么，一面是拒绝不做什么，然后进一步对你的选择，寄以前瞻；对你的拒绝，砍掉反顾。注意我用的动词是砍掉，有很强的意志在内。,005.立言家的真面目.txt,48,《大李敖全集6.0》分章节/005.诗集语录类/004.李敖语录/005.立言家的真面目.txt,"选择,拒绝,人格",LAT040-023
LAT040-014,李敖语录,校对轮,已校对,人格,忠言逆耳,我很刁，但这正是我的长处。我在是非之争上，极为放刁；真理所在，绝不饶人。我活了这么老，还能不乡愿，还能心直口快、侠骨柔情，正因为我又多情又认真又厉害的缘故。而你们这些小朋友，却有年纪愈大愈心平气和的危险，你们真不可不注意。在这世界上，不会有像我这样的人，这样倚老卖老大模大样的教训你们了，你们应该庆幸有此逆耳之忠言。我的忠言中，有一个大缺点，是过分自大，不过当你们知道我的确如此大大大，就见大不大了！（《我很刁》）,005.立言家的真面目.txt,52,《大李敖全集6.0》分章节/005.诗集语录类/004.李敖语录/005.立言家的真面目.txt,"忠言,真理,人格",LAT040-024
