id,book,round,status,category,title,description,source_file,source_paragraph,source_path,keywords
LAT091-001,李敖演讲集,提取轮,待校对,人格,诚实荣誉要靠实行,很凑巧，那次演讲的题目也是如何实践诚实荣誉一类，我“胡说八道”了一阵，下台以后，指导员眼睛一瞪，腰一叉，桌子一拍，走过来说：喂，李敖，你有什么资格讲如何实践诚实荣誉，你这个人油腔滑调，这就是不“诚”；你这个人浮华肤浅，这就是不“实”；你脸皮厚，不爱面子，不要脸，这就是不“荣誉”，诚实荣誉要实践的，不是心里想的，嘴巴讲的！,001.19601027军队演讲.txt,7,《大李敖全集6.0》分章节/010.节目演讲类/011.李敖演讲集/001.19601027军队演讲.txt,人格;李敖
LAT091-002,李敖演讲集,提取轮,待校对,人格,诚实荣誉要靠实行（001-10）,两千多年前，汉朝的一个皇帝问一位九十多岁的老头子如何做人做事，老头子回答他说：“为政不在多言，顾力行何如耳。”就是说，实践诚实荣誉多讲话是没用的，要去实行才行。就好像在队伍面前喊口令，我们这些充员官喊起口令来，都是不伦不类南腔北调的，喊立正不像立正，像踩了鸡脖子；喊稍息不像稍息，像车胎泄了气，人家不要问，一听就知道这是充员官喊出来的。补救的办法不是开个演讲比赛，讲“如何喊口令”，而是要多向各位老前辈学习，多吊嗓子才行。诚实荣誉也是一样，它们是要“实践”的，运用之妙，存乎一心，多讲了也没有用，我们要慢慢来，慢慢实践，别着急，好在“诚实荣誉”是我们男人的专利品，女人不会跟我们抢冠军，娘儿们爱说谎，吊咱们胃口，所以不“诚”；娘儿们爱穿高跟鞋，不像咱们脚踏实地，所以不“实”；娘儿们不光着胳膊就是光着大腿，老爱把一身肥肉给咱们看，不要脸，所以不爱“荣誉”，所以我说，诚实荣誉的冠军一定是我们的，最后的诚实荣誉一定是属于我们的。,001.19601027军队演讲.txt,10,《大李敖全集6.0》分章节/010.节目演讲类/011.李敖演讲集/001.19601027军队演讲.txt,人格
LAT091-003,李敖演讲集,提取轮,待校对,知识,历史人物不能只看演义,我可以说每个人知道关公，可是我又可以说每个人又都不知道关公，这话怎么说？因为一般人所知道的关公都是假的关公，而我知道的关公才是真的关公。一般人所知道的关公是从京戏里边或者他爷爷口里边所讲出来的关公，或是从《三国演义》这部书里面所知道的关公，大家都知道桃园三结义的故事，知道关公三战吕布，过五关斩六将，华容道捉放曹，刮骨疗毒，死后显灵吓曹操等故事。这些故事虽然很英雄、很刺激、很美，可是都是假的，因为在正式历史的记载里，全没有这一套，这些故事都出自一部书叫《三国演义》，就是大家都看过，在市面上也买得到的那部《三国演义》，换句话说，《三国演义》这部书里所说的关公是不能相信的，京戏里面和爷爷口里的关公也是跟着《三国演义》这部书将错就错，一错再错，都是不能相信的。这些都不是关公的真面目。,002.19601030军队演讲.txt,5,《大李敖全集6.0》分章节/010.节目演讲类/011.李敖演讲集/002.19601030军队演讲.txt,知识;历史
LAT091-004,李敖演讲集,提取轮,待校对,人格,诚实荣誉要靠实行（002-6）,我个人过去在台湾大学历史系鬼混过四年，整天抱着死人骨头跟死人算死账，整天搞“历史人物评介”，“历史人物评介”对我们说来是家常便饭、拿手好戏，对历史人物不敢说是有研究，只能说稍稍知道一点点皮毛，正史上关于关公的记载只有一部书，就是二十五史里边的《三国志》，大家知道《三国志》当然不是《三国演义》，也不是《三国志演义》。《三国志》的作者姓陈名寿叫陈寿，他的时代和关公很近，他的父亲就是被刚刚五号同学所说的诸葛亮杀的。他这部书是关于三国唯一的一部历史，也是一部可靠可信的历史，可是大家不读这部《三国志》，而读《三国演义》，《三国演义》的作者叫罗贯中，是明朝人，他生的时候，关老爷已经死了一千二百一十五年了，他实在不能了解一千两百年前的关公，可是他在家吃饱了饭没事干，他就写了一部小说就是《三国演义》。他没有受过三民主义讲习班的训练，不知道什么是诚实荣誉，于是在家里就大造假历史，假历史造出来，大家都知道有个桃园结义的关公、三战吕布的关公、水淹七军的关公、死后显灵的关公，可惜的是这些统统都不是真的关公，真的关公在哪儿呢？真的关公在棺材里边啦！假如关公死而复活，从那边棺材里爬出来，他也不会相信这是他自己，他会说：“哎呀！上帝呀，你看他们把我写成这个样子，我老关可真不敢当呀！”,002.19601030军队演讲.txt,6,《大李敖全集6.0》分章节/010.节目演讲类/011.李敖演讲集/002.19601030军队演讲.txt,人格;台湾;民主;历史
LAT091-005,李敖演讲集,提取轮,待校对,政治,国民党叙事要被拆穿,所以我认为台湾的主义是假的、国民党是假的、共产党是假的、民进党也是假的。这是我觉得40年来我所看到的，台湾在政治上面一个假的现状。政治以外我们再看看文化，更糟糕了。国民党本来是一个有进步思想的党，所以它在1928年北伐成功以后，它提倡了一些进步的举措，比如说张天师，道教的张天师，他就把他革掉了，我们不给钱了，政府不管你了。可是到了台湾以后，国民党开始开倒车，开始复古，张天师又变成了政府开始给钱。证明了他比起1928年的国民党，他在开倒车。我们在文化上面，像国民党孙运璿，口口声声提倡精致文化，实际上他们提倡的是一个非常落伍的开倒车的文化。因为国民党是这样的文化政策，所以我们所看到40年来的很多事情，我们觉得不看能。文学也好、艺术也罢、诗歌也成，我们发现实在是不能看。,003.19890414李敖来台40周年演讲.txt,46,《大李敖全集6.0》分章节/010.节目演讲类/011.李敖演讲集/003.19890414李敖来台40周年演讲.txt,政治;李敖;台湾;国民党
LAT091-006,李敖演讲集,提取轮,待校对,政治,国民党叙事要被拆穿（003-63）,我举这个例子证明什么？证明现在台湾很多人为了政治的原因，为了政治的目标，可以抹杀一个历史的事实。我觉得这个是不通的。为什么这样做？是什么人干的事？这是国民党干的事。国民党把这种教育的这种思路传给了我们。所以我们也用这种思路去感受过去。比方说，我们举个例子，谈到李登辉，大家对李登辉寄予希望。我请问你，一开始把他推向党主席，就是个错误。干什么呢？又要用党来控制政吗？好，开始去请愿，向李登辉请愿，到总统府，如果按照宪政的体制，李登辉有什么权力呢？他根本没有这个权力。如果你使李登辉大有作为，他就是专制！专制就违反了宪政，违反了民主，所以你要求李登辉越有作为，就是越违反民主，这个是冲突的。可是大家不管，我们对李登辉寄予希望，我们要求李登辉如何如何。李登辉忽然也来这一套了，也学会了，半夜三更，清早跑来去跟人家闲话家常，也亲自去指挥什么东西了。这也只是蒋经国这一套。,003.19890414李敖来台40周年演讲.txt,63,《大李敖全集6.0》分章节/010.节目演讲类/011.李敖演讲集/003.19890414李敖来台40周年演讲.txt,政治;李敖;台湾;国民党
LAT091-007,李敖演讲集,提取轮,待校对,政治,国民党叙事要被拆穿（003-68）,所以“台独”，我们可以讲很多理论认为它可以成功，并且取得很多历史的事实。证明像美国独立就成功了。我说：没错，可是除非你解决了共产党的问题，否则“台独”没有成功的可能。那你说：共产党打不打台湾？当然会打。那你说那怎么办？国民党怎么样呢？国民党就开始吃台独的饭，你不晓得，国民党在吃“台独”的饭。跟共产党讲，你看“台独”，你逼我，“台独”没人控制，你就没有了，什么都没有了。香港的问题也是问到，问这个邓小平，说：你们这样搞，将来你们收到的香港是个空城，香港人都跑掉了。邓小平讲什么？空城就空城。为了雪耻，我们要把香港收回来，空城也要。这就是共产党。台湾人在国民党教育之下，不了解共产党，所以才会出现了台独这种判断力，我认为是错误的。,003.19890414李敖来台40周年演讲.txt,68,《大李敖全集6.0》分章节/010.节目演讲类/011.李敖演讲集/003.19890414李敖来台40周年演讲.txt,政治;李敖;台湾;国民党
LAT091-008,李敖演讲集,提取轮,待校对,政治,国民党叙事要被拆穿（003-81）,李敖：我懂你的意思，我们怎么办？我想我们第一个先保持我们的冷静，至少我们不轻易受共产党的骗，也不给国民党骗，也不给民进党骗，这是最起码的。我们至少要做到：“穷则独善其身，达则兼济天下。”我们至少知道拒绝，我们不接受，你们这样搞我们不接受，这样消极的抗议我们可以做到。也许有机会有识之士去另外组织一个党，一个比较亲民的党，我觉得还是可能的。的确现在什么都不是，三不像四不像，一点都没有错。我们现在的处境，我跟你讲，跟以色列、跟南非其实都不如，还不如以色列。因为以色列没有那么强大的一个宗主国来要它，南非至少还有那么强的一个财力，一个国力，四面都比他弱。所以我们现在的处境，的确不晓得怎么办。可是我们知道远景是什么！我在接受PLAYBOY访问的时候，我说：国民党注定要完蛋，台独空忙一场。关于第二个问题，你是讲到戈尔巴乔夫，他这样做，至少是一个新的戏路。从来没有这样共产党，这样笑嘻嘻的共产党，他现在出现了。可能更有威胁，当然，共产党笑的时候是最可怕的。到现在为止他是成功的。我们无能为力，我们自己的事情都管不了，更管不了戈尔巴乔夫。第三个问题，像你这样优秀的老师，我认为你应该告诉这些山地同胞，他们的祖先即使吃人肉、即使杀人，都不是耻辱。我们的祖先也一样，我们的祖先也吃过人肉、也杀过人，我们不能抹杀历史。像英国的祖先是海盗，它现在历史上也说它是海盗，如果说我祖先是海盗，我就有自卑感，这个自卑感是错误的。你有办法去教育他们，使他们免除这个自卑感，你有。（笑声掌声）,003.19890414李敖来台40周年演讲.txt,81,《大李敖全集6.0》分章节/010.节目演讲类/011.李敖演讲集/003.19890414李敖来台40周年演讲.txt,政治;李敖;国民党;共产党
LAT091-009,李敖演讲集,提取轮,待校对,法权,司法问题要看权力结构,李敖：我答复这最后一个问题，我最有经验来谈国民党的司法。因为我从1964年开始就打官司打到现在，我出庭的次数在两百次以上。我打的官司无数，什么原因？以为我打官司会成功吗？十个官司九个官司都是失败的。可是我还要打，为了什么？为了证明你国民党的法官和国民党的司法在两制三制，三制四制，你的司法是很荒谬的。我要留下一次一次记录，大家不要笑，这个记录有什么用？我答复这位朋友的话，有他的用处。当我告的不是自己人的时候，我告了国民党议员、告了国民党教授的时候，我留下一个记录。就是说当我告郁慕明和赵宁的时候，留下一个记录。就是说郁慕明是发行人，赵宁是社长。因为赵宁是社长，不管社务，所以判他无罪。郁慕明因为帮别人竞选，所以判他无罪，我留下这个记录。忽然不久就发生了蓬莱岛的案子，陈水扁有罪了。为什么？因为陈水扁是社长。这就是个很明显的例子，就我留下一个判例给他用。所以历史上我们每一次都有留下记录，当一国发生两制的时候，一法两制的时候，一判两判的时候，我们都不断的留下记录。当然你说这很消极，可是我跟你讲，我是学历史的人，当我看这个历史的过程里面，我都用很长的观念来看。我觉得十年二十年三十年都是很短的时间，当然四十年很长，所以我来讲演了。（笑声掌声）,003.19890414李敖来台40周年演讲.txt,96,《大李敖全集6.0》分章节/010.节目演讲类/011.李敖演讲集/003.19890414李敖来台40周年演讲.txt,法权;李敖;国民党;陈水扁
LAT091-010,李敖演讲集,提取轮,待校对,法权,坐牢不能摧毁精神,刚才提到法国作家伏尔泰另一个比李敖幸运的地方，是他第二次坐牢的时候，当权者跟他说，如果你同意离开法国，我们就不关你了，让你离开监狱，伏尔泰同意了，所以他被放逐，去了英国。这种放逐，在中国固有文化中，叫做“流刑”，是古代五刑之一，是强迫一个人流亡在外面。可是，国民党口口声声复兴中华文化，却不肯复兴这种“流刑”文化，它把所有反对它的人都扣押在身边，这也叫“留刑”。不过是去留的留、留下来的留，而不是你流亡在外的流。正因为国民党赶不上两三千年前古人的宽大、也赶不上两三百年前法国人的宽大，所以，李敖一直被留在台湾，不能像伏尔泰那样驱逐到英国。因此我说，伏尔泰比李敖幸运得多。,004.19901029李敖全美华人协会颁奖典礼录音演讲.txt,5,《大李敖全集6.0》分章节/010.节目演讲类/011.李敖演讲集/004.19901029李敖全美华人协会颁奖典礼录音演讲.txt,法权;李敖;台湾;中国
